 Desplazamiento Bala, Velocidad Bala, Estatus, 26 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 43 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -626 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -602 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -577 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -553 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -529 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -504 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -480 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -456 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -431 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -407 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -382 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -358 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -334 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -309 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -285 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -261 -731 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -236 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -212 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -188 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -163 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -139 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -114 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -90 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -66 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -41 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -17 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 7 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 32 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -731 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -633 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -616 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -599 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -582 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -565 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -548 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -531 -513 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -514 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -497 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -479 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -462 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -445 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -428 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -411 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -394 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -377 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -360 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -343 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -326 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -308 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -291 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -274 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -257 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -240 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -223 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -206 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -189 -513 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -172 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -155 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -137 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -120 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -103 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -86 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -69 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -52 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -35 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -18 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -1 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 16 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 34 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -513 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -364 0,1
